1	0.003
15	0.141
51	0.502
91	0.907
105	1.045
271	2.707
285	2.842
577	5.767
591	5.906
606	6.054
897	8.961
1001	10.005
1135	11.342
1148	11.479
1198	11.975
1207	12.062
1256	12.550
1314	13.137
1328	13.272
1363	13.628
1378	13.773
1573	15.728
1582	15.816
1596	15.951
1743	17.421
1756	17.559
1796	17.959
1845	18.444
1970	19.693
1985	19.840
2063	20.626
2094	20.938
2170	21.695
2183	21.826
2224	22.230
2237	22.367
2304	23.038
2313	23.120
2326	23.257
2341	23.407
2349	23.480
2362	23.617
2402	24.015
2451	24.505
2466	24.655
2545	25.442
2558	25.575
2660	26.597
2669	26.689
2683	26.826
2723	27.228
2737	27.363
2777	27.761
2790	27.890
2812	28.110
2825	28.246
2891	28.904
2900	28.997
2914	29.135
2972	29.714
2985	29.847
3133	31.323
3146	31.455
3449	34.484
3506	35.051
3738	37.376
3753	37.522
3797	37.961
3810	38.093
4096	40.951
4111	41.100
4333	43.326
4347	43.462
4362	43.611
4451	44.501
4709	47.087
4723	47.221
4812	48.115
4827	48.265
4852	48.519
4902	49.012
4916	49.155
4924	49.237
4938	49.375
5176	51.750
5189	51.886
5256	52.559
5265	52.645
5279	52.782
5337	53.368
5351	53.504
5409	54.088
5423	54.226
5600	55.998
5637	56.362
5663	56.621
5676	56.758
5709	57.082
5807	58.061
5820	58.195
5874	58.736
5951	59.509
5983	59.823
5998	59.971
6150	61.494
6164	61.630
6178	61.778
6222	62.211
6235	62.348
6329	63.288
6343	63.429
6358	63.576
6448	64.476
6474	64.732
6488	64.871
6503	65.020
6609	66.086
6670	66.699
6684	66.833
6724	67.239
6738	67.373
6807	68.060
6868	68.676
6882	68.811
6897	68.960
7047	70.468
7061	70.605
7227	72.266
7241	72.400
7281	72.803
7295	72.942
7371	73.702
7384	73.836
7398	73.975
7406	74.059
7420	74.198
7461	74.607
7475	74.741
7624	76.230
7637	76.362
7848	78.477
7928	79.271
7941	79.404
7956	79.554
7963	79.628
7995	79.941
8143	81.420
8156	81.554
8206	82.054
8249	82.485
8263	82.622
8278	82.772
8303	83.024
8316	83.157
8374	83.732
8387	83.867
8420	84.193
8498	84.978
8512	85.112
8560	85.593
8570	85.691
8583	85.824
8598	85.973
8605	86.046
8619	86.183
